# EGS HST Catalogue
# From https://archive.stsci.edu/hlsp/candels/egs-catalogs
RA,Dec
214.9427145,52.8130046
215.0999981,52.9235159
214.9557561,52.8218821
215.177683,52.974336
214.9478913,52.8165203
214.921191,52.7977368
215.1048285,52.9277861
215.2465458,53.0265212
215.1646512,52.9687408
215.0322559,52.8755668
215.1115377,52.9309943
215.191547,52.9875167
215.1903252,52.9870238
215.0888338,52.9159139
215.1812925,52.9816939
215.2061694,52.9989052
215.0973413,52.9208006
214.9712365,52.8334301
215.2890781,53.0564957
215.0830775,52.912587
215.1308712,52.9459222
214.9849263,52.8428337
215.0309779,52.8744268
215.2331374,53.0179295
215.258703,53.0360343
215.0201444,52.8670729
215.2770877,53.047013
215.2281482,53.0131689
214.8498706,52.7470014
214.8862215,52.7730695
215.2629681,53.0391357
215.0073747,52.8590969
215.2459108,53.0263575
214.8621635,52.7556119
215.1513587,52.9607937
215.1122891,52.9290848
215.2836877,53.0527952
215.1594497,52.9665295
215.2361855,53.0193169
215.2310261,53.0162437
215.2763437,53.0482889
215.2905925,53.0585423
215.2205781,53.0094741
214.9531843,52.82076
214.9993351,52.852679
214.9453056,52.8144696
215.017288,52.8660291
214.9774038,52.8379857
214.8261621,52.7303293
215.2866111,53.0546291
215.2326247,53.0173996
215.0684676,52.9018971
215.1842043,52.9840121
214.9438336,52.8141732
215.0996696,52.9244979
215.2546391,53.0334583
215.2957272,53.0620857
215.2165597,53.0052724
215.0290031,52.8731375
214.9458389,52.8155947
215.2299692,53.0161921
215.1874534,52.9863707
215.0191967,52.8675168
215.2727558,53.0462075
215.233146,53.0184645
215.0837913,52.9087382
215.0675154,52.9018996
215.2606115,53.0377234
215.1754485,52.976596
214.9784453,52.8388895
215.1068762,52.9297227
215.2277654,53.0136105
215.1300545,52.9457162
215.2880622,53.0570267
215.2027877,52.9968904
215.2086987,53.0011442
215.1436433,52.9556888
215.212103,53.0038148
214.9753399,52.8367794
215.2852277,53.0550731
215.1686253,52.9732901
215.2516466,53.0309177
214.9431171,52.8139093
215.1393648,52.9527094
214.9138436,52.793151
214.9042287,52.7863099
215.1308919,52.9467736
215.1122123,52.9316074
214.9875697,52.8455071
215.1964477,52.9929173
215.2299331,53.0164171
215.0817081,52.9108812
215.138714,52.9520226
214.9051901,52.7869073
214.9716162,52.8342669
214.8471287,52.7456827
215.0688641,52.9020658
215.161379,52.9683296
215.0427011,52.8846272
215.1561919,52.9646843
215.103029,52.9252021
215.2090925,53.0010713
215.0546893,52.8931327
215.0159023,52.8657021
214.8648769,52.7583958
215.2659483,53.0413177
215.2389517,53.0225937
215.160429,52.9677296
214.9037254,52.7857908
215.1677609,52.9729062
215.280662,53.0518359
215.1432936,52.9551163
215.288286,53.0574707
215.0971186,52.9231455
215.2760471,53.0472834
215.1081096,52.9294542
215.1612956,52.9671095
215.0914712,52.9187568
215.0910805,52.9185471
215.110762,52.9325439
215.1274721,52.9445833
215.0341725,52.8787337
215.0109376,52.8616948
215.2079816,53.0012424
215.2596151,53.0348861
215.2295873,53.0155427
215.0714438,52.9042644
215.2684576,53.0436617
215.1826624,52.9835005
215.2407012,53.0238042
215.2278917,53.015285
215.0543013,52.893068
215.2794374,53.0496487
214.9178668,52.7947916
215.1258433,52.9425853
215.0779663,52.9087993
215.1563689,52.965075
215.1535172,52.963055
215.1122364,52.9339452
215.0271327,52.8728383
215.2664179,53.041743
215.1314754,52.947422
215.0417,52.8842151
214.9530628,52.8213848
215.1822813,52.9832032
215.175648,52.9786044
215.0727369,52.9061463
215.1089746,52.9315153
215.2798769,53.0516283
214.9421838,52.8136663
214.9097042,52.7905855
215.20948,53.002486
215.208127,53.0015393
215.227475,53.0151279
215.1465842,52.9581176
215.1084698,52.9313237
215.2681571,53.0436433
215.0557533,52.8939578
215.2323461,53.0141047
215.2077307,52.9992575
215.0909805,52.9191439
214.9506459,52.819567
214.9185262,52.7969809
214.8844864,52.7712488
215.1495362,52.9599328
215.2360873,53.020858
214.8510297,52.7489633
215.2581446,53.0361651
215.072935,52.9064013
215.1282838,52.9455295
215.152809,52.9615345
215.0342221,52.8776876
215.2648153,53.0408051
215.2131343,53.0046496
215.0449659,52.8867643
215.2045601,52.9992127
215.0478422,52.8877421
214.9461279,52.816607
215.0805175,52.9118446
215.1075388,52.9309887
215.2284024,53.0158832
215.2607196,53.036747
214.9036079,52.784804
215.0059593,52.8590025
215.0228746,52.8704104
215.0332043,52.877673
215.1977332,52.9944838
215.0554184,52.8940291
214.9892757,52.8472188
215.179612,52.9817012
215.1677163,52.9733052
215.0641612,52.8993843
215.2718697,53.0460584
215.201601,52.9969838
215.0166145,52.8663706
214.9064933,52.7885186
215.02876,52.8754045
215.2579875,53.0367046
215.2808119,53.052769
215.1323002,52.9482475
215.2876026,53.0573235
215.2374107,53.0220493
215.2369839,53.0218985
215.07715,52.909499
214.8699398,52.7626448
214.9800778,52.8409532
214.9862753,52.8449692
215.2544743,53.0319492
215.1403122,52.9525488
215.1073389,52.9306634
215.0627232,52.8991663
214.8114961,52.7208621
214.897766,52.7825229
214.9732834,52.833852
214.897459,52.7820567
215.1489735,52.9603578
215.0703121,52.904812
215.2399629,53.0242531
215.2307374,53.0156695
215.1736311,52.9764807
215.2596019,53.037891
215.0472515,52.8886058
215.1349003,52.9496051
215.148052,52.9593227
214.8465648,52.7457988
215.1402496,52.954248
215.2774661,53.0472645
215.2333346,53.0174122
215.1474979,52.958415
215.1066046,52.9301279
215.2280786,53.0159356
215.234725,53.0206676
215.1580902,52.9665703
214.8993732,52.7837798
214.9740041,52.83385
215.1854558,52.9861077
215.0080824,52.8604473
215.2313098,53.0171506
215.1001958,52.9256657
215.201653,52.9975167
215.0641774,52.9005072
214.9697223,52.8337311
215.1746491,52.9775648
215.2973237,53.0642983
215.0835224,52.9144313
214.9424531,52.8145383
215.178299,52.981184
215.2052076,53.000062
215.048712,52.8896376
215.1627538,52.9702753
215.0134025,52.864864
215.1582107,52.9668319
215.1020721,52.9272837
215.2937358,53.0617257
215.09296,52.9211652
215.1656367,52.9719763
215.061078,52.8986623
215.0822603,52.9136207
214.8129505,52.7218647
215.124908,52.9434061
215.1309353,52.947907
215.1402217,52.9538991
215.0591798,52.8968638
214.9738307,52.8366955
215.2889234,53.058143
214.7903837,52.7063374
214.99872,52.8544544
215.0161233,52.866218
214.947776,52.8179328
215.2189762,53.0097453
215.2042927,52.9995159
214.9981555,52.8542293
214.8678233,52.7608051
215.2022458,52.9976045
215.1171196,52.9378261
214.9098527,52.7912569
215.1737077,52.9779801
215.0555409,52.8946889
214.9946005,52.8514536
215.1225046,52.9420949
215.1024258,52.9275288
215.1555381,52.9648691
215.2243298,53.0134783
215.1002891,52.9263511
215.1945811,52.9927953
214.9940265,52.8514277
214.8852536,52.7741416
214.8453713,52.74485
215.0152388,52.8660168
215.1319359,52.9484904
215.1592033,52.9680759
215.1263057,52.9449259
215.2671258,53.0438079
215.2225252,53.011994
215.0787267,52.9111912
215.247978,53.0304301
215.0090891,52.8621503
215.0737987,52.9069291
215.0997824,52.9262794
215.0221664,52.8714263
215.1133761,52.9352289
215.2027739,52.9987881
214.9769457,52.8394305
215.1006156,52.9265845
215.1079717,52.931833
214.9510536,52.8209394
215.1848727,52.9862457
214.9591476,52.8250016
214.9225452,52.8008328
214.8822685,52.7709253
214.9261057,52.8022796
215.2776465,53.0500323
215.2607114,53.0390618
215.2007382,52.9970538
215.2057347,53.0006853
215.2955019,53.0637327
215.038282,52.8829605
215.1494697,52.9612936
215.2286097,53.0166492
215.1186608,52.9394169
214.8515079,52.7503376
215.2806571,53.0523376
215.2684075,53.0449665
215.0978641,52.9251119
215.0190192,52.8693916
215.1486821,52.9591682
214.9987502,52.8535145
215.2815202,53.0530915
215.2736575,53.0458569
215.0426573,52.8857312
215.2439941,53.0277601
215.109443,52.9332361
215.0834184,52.9149625
215.2629393,53.040752
215.2732299,53.0480846
215.2398773,53.0247744
215.1054659,52.9303389
215.1604561,52.9691988
215.0558529,52.8943067
215.2702862,53.0461034
215.290013,53.06017
215.2149907,53.0076294
215.0043367,52.8588537
